grid_size, width, height, distance, link_length, linkable_length, max_links, figure_size
2.5,       1000,  1000,   60,       12,          16,              1,         0
2.5,       1000,  1000,   60,       28,          16,              1,         5
2.5,       1000,  1000,   60,       28,          16,              2,         5
2.5,       1000,  1000,   60,       28,          16,              3,         5
2.5,       1000,  1000,   60,       28,          16,              4,         5
2.5,       1000,  1000,   60,       28,          16,              5,         5
2.5,       1000,  1000,   60,       28,          16,              6,         5
30,        1000,  1000,   60,       12,          16,              1,         0
30,        1000,  1000,   60,       28,          16,              1,         0
30,        1000,  1000,   60,       28,          16,              2,         0
30,        1000,  1000,   60,       28,          16,              3,         0
30,        1000,  1000,   60,       28,          16,              4,         0
30,        1000,  1000,   60,       28,          16,              5,         0
30,        1000,  1000,   60,       28,          16,              6,         0
40.5,      1000,  1000,   81,       48,          16,              1,         0
40,        1000,  1000,   80,       48,          16,              1,         0
23,         500,   500,   46,       48,          16,              1,         0
20,         500,   500,   40,       48,          16,              1,         0
15,         500,   500,   30,       48,          16,              1,         0
40.5,       500,   500,   81,       48,          16,              1,         0
40,         500,   500,   80,       48,          16,              1,         0
