grid_size, simulation_area, total_area,     volume, concentration, immobilization_probability, figure_size
2.5,       1000**2,         2*pi*65e3**2,   1e-10,  5e-6,          0.1,                        5
2.5,       1000**2,         2*pi*65e3**2,   1e-10,  3e-6,          0.1,                        5
2.5,       1000**2,         2*pi*65e3**2,   1e-10,  1.6e-6,        0.1,                        5
2.5,       1000**2,         2*pi*65e3**2,   1e-10,  1e-6,          0.1,                        5
2.5,       1000**2,         2*pi*65e3**2,   1e-10,  5e-7,          0.1,                        5
2.5,       1000**2,         2*pi*65e3**2,   1e-10,  3e-7,          0.1,                        5
2.5,       1000**2,         2*pi*65e3**2,   1e-10,  1.6e-7,        0.1,                        5
2.5,       1000**2,         2*pi*65e3**2,   1e-10,  1e-7,          0.1,                        5
2.5,       1000**2,         2*pi*65e3**2,   1e-10,  5e-8,          0.1,                        5
2.5,       1000**2,         2*pi*65e3**2,   1e-10,  3e-8,          0.1,                        5
2.5,       1000**2,         2*pi*65e3**2,   1e-10,  1.6e-8,        0.1,                        5
